id,orf1,orf2,orf3
MT755733,4-5104,5084-6731,6730-7495
MT738527,4-5104,5084-6713,6712-7492
MT010299,0-4884,4864-6532,6531-7263
MT010298,0-4884,4864-6532,6531-7263
MT008460,0-5214,5197-6829,6828-7467
MT008459,84-5388,5371-6991,6990-7638
MT008458,2-5360,5343-6975,6974-7613
MT008457,0-5310,5293-6928,6927-7572
MT008456,0-5316,5299-6934,6933-7581
MT008455,0-5316,5299-6934,6933-7581
MT008454,3-5217,5200-6832,6831-7470
MT008453,0-5217,5200-6793,6792-7431
MN996300,0-5013,4993-6616,6615-7395
MN996299,0-5007,4987-6610,6609-7416
MN996298,0-4692,4672-6286,6285-7059
MN996297,0-5007,4987-6610,6609-7416
MN996296,5-5018,4998-6621,6620-7400
MT731332,4-5098,5078-6701,6700-7474
MT731279,4-5098,5078-6722,6721-7501
MT729791,4-5113,5093-6716,6715-7495
MT729788,4-5104,5084-6707,6706-7507
MT726225,4-5104,5084-6707,6706-7513
MT725762,4-5104,5084-6707,6706-7510
MT724793,4-5104,5084-6713,6712-7492
MT720841,4-5101,5081-6710,6709-7441
MT712157,4-5104,5084-6707,6706-7513
MT712147,4-5110,5090-6698,6697-7477
MT712130,4-5110,5090-6698,6697-7477
MT707683,0-5091,5071-6739,6738-7470
MT703831,3-5100,5080-6748,6747-7479
MT645709,0-5091,5071-6739,6738-7470
MT526278,1-5089,5069-6698,6697-7429
MT526277,2-5399,5382-7017,7016-7664
MT526276,0-5400,5383-7018,7017-7665
MT451991,71-5387,5370-7005,7004-7652
MT448670,1-5089,5069-6692,6691-7498
MT439866,0-4821,4801-6424,6423-7230
MT420909,0-4821,4801-6424,6423-7230
MT416724,1-5077,5057-6701,6700-7477
MT409887,0-5085,5065-6709,6708-7485
MT409886,0-5088,5068-6715,6714-7479
MT409885,2-5096,5076-6723,6722-7487
MT409884,3-5103,5083-6730,6729-7494
MT362917,0-5088,5068-6691,6690-7497
MT362916,1-5089,5069-6698,6697-7477
MT362915,0-5088,5068-6697,6696-7476
MT362914,1-5077,5057-6686,6685-7465
MT362913,2-5093,5073-6696,6695-7499
MT362912,0-5100,5080-6703,6702-7506
MT474052,0-5094,5074-6697,6696-7503
MT474051,0-5094,5074-6697,6696-7503
MT474050,0-5094,5074-6697,6696-7503
MT474049,0-5094,5074-6697,6696-7503
MT474048,0-5094,5074-6697,6696-7503
MT474047,0-5094,5074-6697,6696-7503
MT474044,0-5094,5074-6697,6696-7503
MT474043,0-5094,5074-6697,6696-7503
MT474042,0-5094,5074-6697,6696-7503
MT474041,0-4926,4906-6529,6528-7335
MT474040,0-5094,5074-6697,6696-7503
MT474039,0-5016,4996-6619,6618-7425
MT474038,0-5094,5074-6697,6696-7503
MT474034,0-5094,5074-6697,6696-7503
MT474033,0-5094,5074-6697,6696-7503
MT474032,0-5094,5074-6697,6696-7503
